rev_id,sentiment,sentiment_score
319638970,negative,-0.347982
319641044,neutral,0.0
319674924,neutral,0.0
319679496,negative,-0.264391
319679780,neutral,0.0
319706523,neutral,0.0
319707077,positive,0.54466
319708418,negative,-0.901037
319710792,positive,0.761145
319710892,neutral,0.0
319711216,negative,-0.630414
319711620,negative,-0.794535
319716043,positive,0.756935
319726120,negative,-0.879984
319729178,positive,0.634592
319743210,negative,-0.674057
319793581,negative,-0.876215
319795457,negative,-0.988275
319796054,negative,-0.968967
319796718,negative,-0.98665
319806891,negative,-0.358706
319826808,negative,-0.513234
319842554,negative,-0.554272
319843080,positive,0.325227
319869385,negative,-0.630422
319894035,negative,-0.795614
319905318,neutral,0.0
319905730,negative,-0.999252
319914975,positive,0.943204
319942145,negative,-0.951149
319945388,neutral,0.0
319984368,negative,-0.923316
319984413,neutral,0.0
319984544,negative,-0.833
319984605,negative,-0.751847
319984668,negative,-0.760189
319987358,neutral,0.0
319989178,neutral,0.0
320007030,negative,-0.905324
320007782,neutral,0.0
320042787,positive,0.987719
320061880,negative,-0.999751
320081423,negative,-0.956087
320087251,positive,0.831242
320118121,negative,-0.726031
320118730,negative,-0.994989
322468174,negative,-0.925153
322468999,positive,0.404437
322496135,positive,0.403746
322504041,neutral,0.0
322522245,negative,-0.722395
322536554,neutral,0.0
322549367,negative,-0.372123
322553046,negative,-0.813836
322553640,negative,-0.838807
322555384,negative,-0.812898
322562398,negative,-0.963424
322566577,negative,-0.66688
322567881,neutral,0.0
322568248,positive,0.980205
322573427,neutral,0.0
322583931,negative,-0.925014
322585315,positive,0.480939
538283381,negative,-0.823723
538291196,negative,-0.773084
538293526,negative,-0.781183
538333427,positive,0.560243
538336071,neutral,0.0
538345535,positive,0.928567
538349399,negative,-0.956627
538350112,negative,-0.717474
538354310,neutral,0.0
538387313,neutral,0.0
538389142,neutral,0.0
538474225,neutral,0.0
538518012,neutral,0.0
538613091,neutral,0.0
538614535,neutral,0.0
538616245,neutral,0.0
538617088,neutral,0.0
538623661,neutral,0.0
538629978,positive,0.492293
538648402,negative,-0.714354
538674810,neutral,0.0
538677645,positive,0.314766
538728203,negative,-0.585898
538735250,negative,-0.50172
538753484,neutral,0.0
538755136,neutral,0.0
538757391,negative,-0.598033
538794180,negative,-0.885331
538829622,positive,0.913319
538834856,neutral,0.0
538871675,negative,-0.95261
538917793,negative,-0.32585
538949383,neutral,0.0
538955531,negative,-0.642641
538958071,neutral,0.0
538963068,negative,-0.267801
538971180,negative,-0.707143
538971742,negative,-0.607233
538971882,positive,0.64657
538976486,negative,-0.975426
538979004,negative,-0.956255
538981989,negative,-0.840632
538983106,negative,-0.990539
538987361,negative,-0.61368
538987735,negative,-0.544246
539053480,negative,-0.96569
539053641,neutral,0.0
539065751,neutral,0.0
539069313,negative,-0.981295
539072594,negative,-0.99424
544698420,negative,-0.872765
544716756,negative,-0.984661
544721209,negative,-0.647257
544725388,positive,0.741641
544751228,negative,-0.940467
544752909,negative,-0.863441
25533019,negative,-0.387323
25534107,negative,-0.949395
25535641,negative,-0.893651
25536228,negative,-0.68499
25536866,negative,-0.515426
25540316,positive,0.461849
25541112,positive,0.650744
26997433,negative,-0.772893
26997474,negative,-0.766885
27012546,negative,-0.840196
27023230,negative,-0.940501
27038139,negative,-0.770691
27039364,negative,-0.817351
27044860,negative,-0.65783
27073123,negative,-0.315252
27073791,neutral,0.0
27086363,negative,-0.825045
27093370,neutral,0.0
27094647,negative,-0.619425
27096249,negative,-0.521184
27098032,negative,-0.931793
27098281,negative,-0.917178
27099500,positive,0.634271
27101552,neutral,0.0
27102313,negative,-0.39325
27102328,negative,-0.519569
27103303,negative,-0.925075
602066677,negative,-0.838829
602070239,neutral,0.0
602078920,neutral,0.0
602087234,positive,0.628557
602090786,negative,-0.977352
602092740,negative,-0.959066
602095186,negative,-0.911199
602105569,negative,-0.83375
602105668,neutral,0.0
602108986,negative,-0.423913
602125258,neutral,0.0
602127157,positive,0.968413
602129652,negative,-0.663676
602139974,positive,0.755646
602147221,negative,-0.926431
602147779,negative,-0.968553
602167778,negative,-0.968773
602170170,negative,-0.982651
602194710,negative,-0.986672
602195115,negative,-0.991971
602195291,neutral,0.0
602195543,negative,-0.752846
602196182,negative,-0.807797
602197266,negative,-0.522378
602197812,negative,-0.910482
602210295,negative,-0.610587
602212701,negative,-0.709143
602213229,neutral,0.0
602214288,neutral,0.0
602215254,negative,-0.835227
602217262,neutral,0.0
602217736,negative,-0.9806
602233585,negative,-0.84113
602236414,neutral,0.0
602236707,negative,-0.720174
602236766,neutral,0.0
602248171,positive,0.39009
602300976,neutral,0.0
602305907,negative,-0.979695
602341072,negative,-0.949298
602345083,negative,-0.779327
602361423,negative,-0.682911
602397749,negative,-0.825775
602416494,neutral,0.0
602425331,negative,-0.93521
605097061,negative,-0.926049
605097914,negative,-0.853699
605099733,negative,-0.889183
605101308,negative,-0.995223
605101426,negative,-0.898734
605103773,positive,0.667517
605104536,negative,-0.963192
605117764,neutral,0.0
605122680,positive,0.302466
605130217,neutral,0.0
605135817,negative,-0.952582
605140128,negative,-0.889892
605157512,negative,-0.351701
605188554,negative,-0.786468
605197306,neutral,0.0
605203591,negative,-0.551047
605208766,neutral,0.0
322586331,negative,-0.526111
322586751,positive,0.923999
322587475,neutral,0.0
322589435,positive,0.41151
322590822,negative,-0.950485
322591005,neutral,0.0
322591904,negative,-0.999785
322593921,positive,0.592791
322597730,negative,-0.96588
322599227,neutral,0.0
322599582,negative,-0.674555
322599779,negative,-0.808779
322606380,negative,-0.910117
322608252,neutral,0.0
322608588,neutral,0.0
322609855,neutral,0.0
322615473,positive,0.747107
322615984,neutral,0.0
322616260,negative,-0.435064
322617825,negative,-0.986348
322624835,negative,-0.50857
322630301,negative,-0.417819
322631160,neutral,0.0
322633871,negative,-0.903684
322640392,negative,-0.819031
322643776,neutral,0.0
322643782,neutral,0.0
322645038,neutral,0.0
322645568,neutral,0.0
322651507,negative,-0.924794
322681561,negative,-0.825125
322682808,positive,0.348726
322683423,positive,0.900567
322683867,negative,-0.941559
322684552,negative,-0.700096
322684934,positive,0.623975
322685197,positive,0.294297
322688588,negative,-0.999657
322694509,negative,-0.621299
322720149,negative,-0.944879
322727284,negative,-0.971769
322735036,negative,-0.40083
322738325,negative,-0.450933
322738935,negative,-0.71857
322741410,positive,0.371343
322752516,negative,-0.528572
322759906,neutral,0.0
322760196,positive,0.799482
324912006,negative,-0.54631
324912301,negative,-0.753125
324912623,negative,-0.722085
324913817,negative,-0.884789
324919216,negative,-0.589644
324927352,positive,0.322609
324956458,negative,-0.824645
324984100,neutral,0.0
544775851,negative,-0.525596
544781659,negative,-0.527255
544785054,neutral,0.0
544787048,neutral,0.0
544795112,negative,-0.717078
544800941,negative,-0.693632
544805431,negative,-0.95416
544900692,positive,0.643677
544937224,positive,0.678991
544960185,negative,-0.766378
544961856,neutral,0.0
544963922,negative,-0.466619
544981153,negative,-0.909627
544982083,negative,-0.925834
544983238,negative,-0.781611
544983550,neutral,0.0
544984277,negative,-0.904449
544988290,negative,-0.310328
544990141,negative,-0.778019
545018192,negative,-0.509918
545021173,negative,-0.628862
545035610,positive,0.581925
545047988,negative,-0.645666
545048366,negative,-0.749717
545048566,neutral,0.0
545048986,negative,-0.928917
545050475,neutral,0.0
545055748,neutral,0.0
545056164,negative,-0.973807
545056298,neutral,0.0
545061516,positive,0.507094
545062390,neutral,0.0
545070208,negative,-0.70249
545083101,neutral,0.0
545123798,positive,0.677739
545183500,negative,-0.871918
545185209,negative,-0.602408
545214680,positive,0.787101
545215988,negative,-0.882669
545216896,negative,-0.881346
545219011,neutral,0.0
545233856,negative,-0.647655
545244912,negative,-0.887085
545245406,negative,-0.988243
545245521,negative,-0.9742
545246268,negative,-0.843942
548826306,negative,-0.781586
548837718,negative,-0.94365
548846004,neutral,0.0
548850789,negative,-0.275433
548871455,negative,-0.700757
548874000,neutral,0.0
548955851,negative,-0.321476
549034803,negative,-0.582902
549060414,neutral,0.0
549062338,positive,0.924361
549083928,positive,0.876228
549094227,positive,0.560791
549094782,negative,-0.962334
549117936,negative,-0.929336
549164813,positive,0.885054
549165364,negative,-0.761542
27114468,negative,-0.774383
27115707,negative,-0.90874
27116757,neutral,0.0
27117648,negative,-0.491808
27122631,neutral,0.0
27122686,neutral,0.0
27122733,negative,-0.606157
27127979,neutral,0.0
27132410,negative,-0.871105
27132878,positive,0.419929
27134087,negative,-0.878801
27136680,negative,-0.906819
27137174,positive,0.72063
27137812,negative,-0.846922
27143482,positive,0.346206
27145563,negative,-0.863508
28555293,negative,-0.970101
28562658,neutral,0.0
28593736,neutral,0.0
28627592,neutral,0.0
28628058,negative,-0.734136
28651793,neutral,0.0
28655113,negative,-0.445762
28663847,positive,0.866127
28675681,negative,-0.31653
28680259,negative,-0.996421
28697191,negative,-0.838656
28701346,negative,-0.723527
28717654,neutral,0.0
28738942,neutral,0.0
28744419,neutral,0.0
28744526,neutral,0.0
28762968,negative,-0.800488
28763559,negative,-0.927818
28763971,neutral,0.0
28764078,neutral,0.0
28764372,negative,-0.507202
28775628,neutral,0.0
28787225,negative,-0.959212
28788566,negative,-0.949842
28788897,negative,-0.97161
28792286,negative,-0.696228
28792419,positive,0.52846
28800363,negative,-0.840906
28802044,negative,-0.991443
28802758,positive,0.989218
28807932,negative,-0.979389
28807993,negative,-0.999771
28808212,negative,-0.999769
28814263,positive,0.397632
28831598,negative,-0.965693
28835765,negative,-0.91206
28839337,positive,0.625672
28843109,negative,-0.248248
28847678,neutral,0.0
605210147,neutral,0.0
605210340,positive,0.924128
605213554,neutral,0.0
605227944,positive,0.965628
605229082,negative,-0.98104
605229966,negative,-0.718698
605230696,negative,-0.88991
605231182,negative,-0.952483
605231624,negative,-0.87383
605232315,negative,-0.880575
605240845,positive,0.553478
605250793,negative,-0.81673
605289916,neutral,0.0
605296655,positive,0.401657
605298601,negative,-0.883341
605300649,negative,-0.848098
605333288,negative,-0.984559
605347612,negative,-0.954017
605347937,negative,-0.691304
605357258,negative,-0.389963
605358736,negative,-0.815334
605365333,neutral,0.0
605370010,negative,-0.76851
605378703,negative,-0.584257
605380561,neutral,0.0
605381242,negative,-0.601519
605381785,negative,-0.576627
605428593,positive,0.539132
605435533,negative,-0.617279
605440950,neutral,0.0
605442499,positive,0.59435
605453194,positive,0.330092
605456220,negative,-0.960093
605456478,negative,-0.926129
605457483,negative,-0.97958
605474011,negative,-0.644145
605475538,negative,-0.469011
608643773,negative,-0.784269
608644262,negative,-0.924343
608646011,negative,-0.909775
608646470,negative,-0.971331
608657769,negative,-0.95777
608661148,negative,-0.508395
608661991,negative,-0.443484
608662260,negative,-0.999048
608662366,negative,-0.996488
608663298,negative,-0.765865
608664632,positive,0.671971
608680356,negative,-0.440484
608680477,negative,-0.440484
608697230,neutral,0.0
608702579,negative,-0.333696
608704532,negative,-0.853003
608709367,negative,-0.652308
608712108,negative,-0.360917
608714366,neutral,0.0
608716206,neutral,0.0
608717269,negative,-0.897075
608718488,negative,-0.962838
608718906,negative,-0.612319
608745706,negative,-0.569944
608747109,neutral,0.0
608749009,neutral,0.0
608751442,negative,-0.943229
608755576,negative,-0.66008
608758751,negative,-0.532247
324984364,negative,-0.966279
325001716,neutral,0.0
325007827,positive,0.930178
325023928,neutral,0.0
325024056,negative,-0.777416
325026111,positive,0.807919
325026278,positive,0.752045
325039269,neutral,0.0
325057287,negative,-0.988642
325118951,negative,-0.702172
325122025,positive,0.855749
325122615,neutral,0.0
325179315,positive,0.774362
325193402,negative,-0.91353
325202507,negative,-0.791938
325203390,negative,-0.875937
325203588,negative,-0.611733
325232856,positive,0.345784
325245201,negative,-0.958701
325254367,negative,-0.457741
325255815,negative,-0.582614
325295602,negative,-0.692336
325308646,positive,0.751001
325310601,negative,-0.988117
325311131,negative,-0.788811
326911523,positive,0.449303
326911613,positive,0.394442
326913499,neutral,0.0
326951685,positive,0.664906
549225256,negative,-0.903813
549232603,negative,-0.98618
549391809,negative,-0.616177
549456641,negative,-0.782589
549458616,negative,-0.893088
549459840,positive,0.979524
549460249,positive,0.438219
549460271,positive,0.700738
549554242,negative,-0.970479
549609110,negative,-0.927065
549611483,neutral,0.0
549657243,positive,0.764521
552123300,positive,0.471171
552137127,negative,-0.654383
552143002,neutral,0.0
552149688,negative,-0.676226
552159221,negative,-0.976764
552159400,negative,-0.701941
552207156,positive,0.391533
552207676,neutral,0.0
552208565,positive,0.628002
552208726,neutral,0.0
552210630,positive,0.482588
552211615,negative,-0.963442
552217133,negative,-0.969315
552217199,positive,0.278512
552244780,positive,0.598965
552246027,neutral,0.0
552267504,negative,-0.774708
552274211,negative,-0.740506
552275099,positive,0.602854
552275271,neutral,0.0
552279026,negative,-0.764623
552279261,negative,-0.96162
552289635,negative,-0.466731
552313053,negative,-0.915673
552359758,negative,-0.658605
552361017,negative,-0.959106
552368837,negative,-0.961644
552370109,negative,-0.996649
552401031,negative,-0.995854
552435949,negative,-0.710322
552436508,negative,-0.698743
552437581,negative,-0.834714
28850027,positive,0.996254
28851504,neutral,0.0
28851629,neutral,0.0
28852621,negative,-0.795193
28859826,neutral,0.0
28862296,neutral,0.0
28862510,negative,-0.927211
28888674,negative,-0.360239
28894709,negative,-0.532695
28895117,negative,-0.996124
28895222,negative,-0.930832
28896110,negative,-0.836261
28898886,positive,0.706351
28898950,positive,0.902484
30127572,negative,-0.861999
30136560,negative,-0.674927
30171162,negative,-0.669204
30188736,positive,0.292049
30217395,negative,-0.523557
30218013,neutral,0.0
30229691,neutral,0.0
30234746,negative,-0.921463
30234930,negative,-0.894606
30235020,negative,-0.898527
30242944,negative,-0.970118
30243513,negative,-0.99749
30243824,neutral,0.0
30244024,negative,-0.678681
30244105,neutral,0.0
30245285,negative,-0.656176
30246373,negative,-0.934479
30252928,positive,0.542101
30259019,negative,-0.714678
30259489,neutral,0.0
30264734,negative,-0.859942
30266565,negative,-0.941821
30266763,neutral,0.0
30267222,negative,-0.806998
30268202,negative,-0.927359
30274232,negative,-0.509378
30279840,positive,0.636641
30283561,negative,-0.536804
30283789,neutral,0.0
30293275,negative,-0.968082
30321659,negative,-0.894751
30349996,negative,-0.792369
30367072,negative,-0.698939
30375850,positive,0.88914
30384127,negative,-0.912819
30400225,neutral,0.0
30400715,neutral,0.0
30415412,neutral,0.0
30423511,neutral,0.0
30426593,negative,-0.735709
30426695,negative,-0.695294
30427135,positive,0.977897
30430684,negative,-0.834408
21318767,positive,0.582942
21319268,negative,-0.832054
21319543,negative,-0.984657
608765144,positive,0.476148
608806227,positive,0.99193
608839830,neutral,0.0
608858710,negative,-0.772655
608892571,negative,-0.952982
608982445,neutral,0.0
609016866,negative,-0.955264
609036248,neutral,0.0
609050696,negative,-0.800039
609061417,negative,-0.958253
609061691,negative,-0.769625
609072650,positive,0.629232
609074076,negative,-0.900476
609076590,negative,-0.964616
609076873,positive,0.682919
609076978,positive,0.682919
609079776,negative,-0.558087
609079794,neutral,0.0
609101367,neutral,0.0
609104825,negative,-0.988558
609109093,neutral,0.0
609137184,neutral,0.0
609137577,negative,-0.999958
609170146,positive,0.80284
609175851,negative,-0.953833
609185729,positive,0.300253
609185887,positive,0.954681
609186802,positive,0.573289
609187197,negative,-0.998751
609187573,positive,0.557148
611263276,negative,-0.772376
611271512,negative,-0.864265
611271897,neutral,0.0
611272252,positive,0.536613
611279496,neutral,0.0
611281922,neutral,0.0
611320102,neutral,0.0
611326161,neutral,0.0
611348292,neutral,0.0
611351804,negative,-0.479869
611357147,negative,-0.813293
611360096,positive,0.984286
611363849,neutral,0.0
611370989,neutral,0.0
611371365,neutral,0.0
611372904,neutral,0.0
611376060,negative,-0.647849
611376122,negative,-0.447037
611376193,negative,-0.92757
611376239,negative,-0.997074
611376305,negative,-0.919993
611400339,negative,-0.465358
611400416,neutral,0.0
611400934,negative,-0.974708
608183898,negative,-0.974935
608184200,negative,-0.82379
608197035,negative,-0.917262
608212081,negative,-0.996375
608212185,negative,-0.999494
608230425,negative,-0.845708
608245519,negative,-0.731013
608252103,negative,-0.351798
608290642,negative,-0.623967
608307036,negative,-0.687178
608312983,neutral,0.0
608313756,neutral,0.0
608313858,negative,-0.954464
608314394,positive,0.858391
608314474,negative,-0.914652
608346189,negative,-0.842253
608453417,negative,-0.534812
608533942,negative,-0.431331
608539941,neutral,0.0
608570501,negative,-0.999784
326979635,neutral,0.0
326987651,negative,-0.948692
327053241,negative,-0.642027
327081145,positive,0.939047
327101332,negative,-0.891323
327124998,negative,-0.998984
327140951,neutral,0.0
327160959,neutral,0.0
328724485,negative,-0.68933
328727986,negative,-0.524774
328729609,negative,-0.983314
328731011,neutral,0.0
328732192,negative,-0.913975
328737212,neutral,0.0
328737524,positive,0.752174
328741724,positive,0.725338
328757583,negative,-0.691781
328761976,negative,-0.882648
328763609,negative,-0.444668
328772478,neutral,0.0
328776673,positive,0.239859
328799346,negative,-0.616184
328802271,negative,-0.493282
328803434,negative,-0.681579
328810416,negative,-0.96486
328818755,positive,0.954203
328821083,negative,-0.804863
328821132,negative,-0.795808
328823814,negative,-0.989329
328825848,negative,-0.728545
328827336,negative,-0.866357
328839535,positive,0.604898
328847755,negative,-0.361094
328848652,neutral,0.0
328855240,negative,-0.594733
328860873,negative,-0.988431
328866155,negative,-0.869062
328867947,negative,-0.81343
328875738,negative,-0.823254
328883041,negative,-0.924502
328884229,negative,-0.879027
328887093,negative,-0.705158
328887146,negative,-0.978092
328893328,negative,-0.722429
328894833,negative,-0.354832
328921011,negative,-0.365527
328943589,neutral,0.0
328946273,negative,-0.593121
328948817,positive,0.889868
328964411,negative,-0.540519
328978084,negative,-0.698032
328983801,negative,-0.988025
328986202,negative,-0.892048
328989621,negative,-0.942589
328990523,negative,-0.949341
328990669,positive,0.685654
328990798,negative,-0.950382
328993186,negative,-0.999875
328993279,negative,-0.927549
328993525,negative,-0.934589
329000565,negative,-0.788412
329023979,negative,-0.959443
331260596,negative,-0.276134
331273006,negative,-0.997151
331278153,positive,0.613694
331284356,neutral,0.0
331288067,negative,-0.442057
331292191,positive,0.528274
331292765,neutral,0.0
552564945,positive,0.362879
552565615,negative,-0.679343
552566675,negative,-0.689828
552567174,negative,-0.646363
552592092,negative,-0.912641
552592571,negative,-0.43282
552598895,neutral,0.0
552603544,negative,-0.663353
540946362,negative,-0.32576
541054163,negative,-0.81775
541060304,negative,-0.660141
541129085,negative,-0.94331
541131278,neutral,0.0
541133404,neutral,0.0
541135876,negative,-0.992065
541136479,negative,-0.61945
541139707,neutral,0.0
541151155,neutral,0.0
541163666,negative,-0.743928
541170126,neutral,0.0
541170775,neutral,0.0
541213492,negative,-0.971728
541225150,negative,-0.950107
541226901,positive,0.288153
546294434,positive,0.51857
546337684,negative,-0.811483
546359777,negative,-0.90194
546386339,negative,-0.987486
546554028,negative,-0.786859
546554651,negative,-0.803821
546579196,negative,-0.554572
546629175,positive,0.295573
546629731,negative,-0.697369
546630525,negative,-0.85201
546635298,negative,-0.978703
546635411,positive,0.397879
546635443,positive,0.578311
546635770,negative,-0.293338
546657139,negative,-0.945202
546664408,neutral,0.0
546707839,neutral,0.0
546708244,neutral,0.0
546709642,neutral,0.0
546710068,neutral,0.0
546731850,negative,-0.675025
546736626,negative,-0.963782
546746450,negative,-0.905236
546747603,neutral,0.0
546759160,neutral,0.0
546760677,negative,-0.700622
546765603,negative,-0.283641
546785922,negative,-0.494902
546786673,negative,-0.67922
546787304,neutral,0.0
546793688,negative,-0.891372
546807946,negative,-0.610076
546813708,positive,0.992182
546817353,neutral,0.0
546827483,positive,0.823004
546836767,positive,0.309452
546855724,neutral,0.0
546863143,positive,0.994349
546870579,neutral,0.0
546871034,positive,0.881899
546875291,negative,-0.565886
546898567,negative,-0.934681
546913331,negative,-0.802752
546921478,negative,-0.978856
546930219,negative,-0.693123
546938543,neutral,0.0
546947048,neutral,0.0
546949591,neutral,0.0
546959103,neutral,0.0
546959838,negative,-0.993197
546967020,neutral,0.0
21321034,neutral,0.0
21322285,negative,-0.777406
21325038,negative,-0.966738
21325151,negative,-0.802071
21329823,negative,-0.315533
21345717,negative,-0.303942
21366104,negative,-0.945416
21379382,negative,-0.819177
21385747,negative,-0.732962
21387430,negative,-0.672317
21388170,negative,-0.999227
21388175,negative,-0.995164
21388282,negative,-0.951625
21403851,negative,-0.528675
21405832,negative,-0.896914
21461705,negative,-0.993889
21493244,positive,0.257166
21496475,negative,-0.440179
21509859,negative,-0.748115
22595915,negative,-0.834664
22614366,neutral,0.0
22619531,negative,-0.636305
22622937,negative,-0.359617
22624816,negative,-0.681608
22625184,negative,-0.823995
22633652,positive,0.776844
22643466,negative,-0.813756
22648821,positive,0.492497
22653707,negative,-0.950618
22661151,negative,-0.661066
22662156,positive,0.906668
22665526,negative,-0.549579
22667630,negative,-0.566847
22675720,negative,-0.691528
22691605,negative,-0.864588
22696963,positive,0.543175
22697014,negative,-0.677186
22704452,negative,-0.927561
22712663,negative,-0.469164
22719816,negative,-0.885741
22720856,negative,-0.729823
22722518,negative,-0.825203
22740316,neutral,0.0
22748952,negative,-0.887393
608577174,negative,-0.999784
608577468,negative,-0.970985
608585920,negative,-0.735087
